期间,厂商编码,挂账单号,部件编码,部件名称,单位,价格,金额,类型,本月结存,上月结存,本月购进,本月退合格品,本月退不合格品,挂账数,厂家确认,确认备注,责任件数,索赔倍数,降价比例,备注
201612,100015,5000603754,100002954,XP160A曲轴箱盖(04型_端通孔_曲孔25.4),EA,20,366,在线索赔,,,,,,,,,3,3,0,有铝屑
201612,100015,5000603289,100065634,XP200A-3曲轴箱体(铸铁缸套_电启动_加大散热片),EA,100,366,在线索赔,,,,,,,,,324,0,3.5,合箱面划伤见sc16120513
201612,100015,5000603062,100002623,XP160A曲轴箱体(无缸套_有轴承),EA,,366,在线索赔,,,,,,,,,3,3,0,有铝屑
201612,100015,5000602892,100002948,XP140A-3曲轴箱盖(01型_端通孔_单放),EA,,366,在线索赔,,,,,,,,,6,3,0,有铝屑
201612,100015,5000603286,100002621,XP140A-3曲轴箱体(无缸套_无轴承),EA,,366,在线索赔,,,,,,,,,1,3,0,有沙眼
201612,100015,5000603527,100002735,1P90F曲轴箱体(消孔左移15_呼位修模),EA,,366,在线索赔,,,,,,,,,1,3,0,漏气
201612,100015,5000603005,100002949,XP140A-3曲轴箱盖(02型_终通孔_单放_短机),EA,,366,在线索赔,,,,,,,,,3,3,0,有铝屑
201612,100015,5000603000,100050608,XP380曲轴箱盖(00型),EA,,366,在线索赔,,,,,,,,,0,0,0,油道孔有飞皮、铝屑，1人分选2小时，20元/小时，见SC16120109
201612,100015,5000603607,100002735,1P90F曲轴箱体(消孔左移15_呼位修模),EA,,-45,在线索赔,,,,,,,,,1,3,0,缸头安装孔偏小
201612,100015,5000602981,100002954,XP160A曲轴箱盖(04型_端通孔_曲孔25.4),EA,,-45,在线索赔,,,,,,,,,5,3,0,有铝屑
201612,100015,5000602966,100002623,XP160A曲轴箱体(无缸套_有轴承),EA,,-45,在线索赔,,,,,,,,,0,0,0,箱体调速柄孔尺寸不合格，分选装机，详见信息单SC16113011
201612,100015,5000603516,100002950,XP140A-3曲轴箱盖(03型_终通孔_单放_曲孔25.4),EA,,-45,在线索赔,,,,,,,,,1,3,0,有铝屑
201612,100015,5000603408,100003032,1P90F曲轴箱盖(新调整齿位置_台阶加高),EA,,-45,在线索赔,,,,,,,,,1,3,0,
201612,100015,5000603379,100051891,XP380曲轴箱体组合,EA,,-45,在线索赔,,,,,,,,,1,3,0,活塞安装孔小
201612,100015,5000603376,100018578,QF2.8后托架,EA,,-45,在线索赔,,,,,,,,,70,0,3,j减震座歪斜，详见信息单：SC16111617
